InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,LineValue,IsCancellation,IsReturn,IsGiveaway,InvoiceYear,InvoiceMonth,InvoiceDay,InvoiceHour,InvoiceWeekday,InvoiceQuarter,Quantity_scaled,UnitPrice_scaled,LineValue_scaled
489434,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,2009-12-01 07:45:00,6.95,13085.0,United Kingdom,83.4,False,False,False,2009,12,1,7,1,4,0.044697030835814805,0.012949556295038491,0.4801470726023234
489434,79323P,PINK CHERRY LIGHTS,12,2009-12-01 07:45:00,6.75,13085.0,United Kingdom,81.0,False,False,False,2009,12,1,7,1,4,0.044697030835814805,0.011274059914689978,0.462461024864594
489434,79323W,WHITE CHERRY LIGHTS,12,2009-12-01 07:45:00,6.75,13085.0,United Kingdom,81.0,False,False,False,2009,12,1,7,1,4,0.044697030835814805,0.011274059914689978,0.462461024864594
489434,22041,"RECORD FRAME 7"" SINGLE SIZE",48,2009-12-01 07:45:00,2.1,13085.0,United Kingdom,100.8,False,False,False,2009,12,1,7,1,4,0.6546259563644997,-0.027681230928412924,0.6083709187008617
489434,21232,STRAWBERRY CERAMIC TRINKET BOX,24,2009-12-01 07:45:00,1.25,13085.0,United Kingdom,30.0,False,False,False,2009,12,1,7,1,4,0.2480066726787098,-0.0348020905448941,0.0866325104378439
489434,22064,PINK DOUGHNUT TRINKET POT,24,2009-12-01 07:45:00,1.65,13085.0,United Kingdom,39.6,False,False,False,2009,12,1,7,1,4,0.2480066726787098,-0.03145109778419708,0.15737670138876156
489434,21871,SAVE THE PLANET MUG,24,2009-12-01 07:45:00,1.25,13085.0,United Kingdom,30.0,False,False,False,2009,12,1,7,1,4,0.2480066726787098,-0.0348020905448941,0.0866325104378439
489434,21523,FANCY FONT HOME SWEET HOME DOORMAT,10,2009-12-01 07:45:00,5.95,13085.0,United Kingdom,59.5,False,False,False,2009,12,1,7,1,4,0.010812090528665639,0.004572074393295931,0.3040235138807679
489435,22350,CAT BOWL,12,2009-12-01 07:46:00,2.55,13085.0,United Kingdom,30.6,False,False,False,2009,12,1,7,1,4,0.044697030835814805,-0.023911364072628775,0.09105402237227626
489435,22349,"DOG BOWL , CHASING BALL DESIGN",12,2009-12-01 07:46:00,3.75,13085.0,United Kingdom,45.0,False,False,False,2009,12,1,7,1,4,0.044697030835814805,-0.013858385790537702,0.19717030879865274
489435,22195,HEART MEASURING SPOONS LARGE,24,2009-12-01 07:46:00,1.65,13085.0,United Kingdom,39.6,False,False,False,2009,12,1,7,1,4,0.2480066726787098,-0.03145109778419708,0.15737670138876156
489435,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES,12,2009-12-01 07:46:00,2.55,13085.0,United Kingdom,30.6,False,False,False,2009,12,1,7,1,4,0.044697030835814805,-0.023911364072628775,0.09105402237227626
489436,48173C,DOOR MAT BLACK FLOCK,10,2009-12-01 09:06:00,5.95,13078.0,United Kingdom,59.5,False,False,False,2009,12,1,9,1,4,0.010812090528665639,0.004572074393295931,0.3040235138807679
489436,21755,LOVE BUILDING BLOCK WORD,18,2009-12-01 09:06:00,5.45,13078.0,United Kingdom,98.1,False,False,False,2009,12,1,9,1,4,0.14635185175726229,0.0003833334424246512,0.5884741149959161
489436,21754,HOME BUILDING BLOCK WORD,3,2009-12-01 09:06:00,5.95,13078.0,United Kingdom,17.85,False,False,False,2009,12,1,9,1,4,-0.10778520054635643,0.004572074393295931,-0.0029031062344112716
